id,nombre_negocio,nombre_doctor,especialidad,email,email_verificado,telefono,direccion,tipo,prioridad,website
1,Clinica Tolima,Dr. Director Medico,Hospitalaria,info@clinicatolima.com,SI,+5783270800,Carrera 1 No. 12-22 Ibague,clinica_grande,alta,https://www.clinicatolima.com
2,Clinica Medicadiz,Dr. Director,Multiespecialidad,servicliente@medicadiz.com.co,SI,+5782650573,Carrera 5 No. 31-114 Ibague,clinica_mediana,alta,https://www.medicadiz.co
3,Centro Medicina Nuclear Tolima,Dr. Director,Radiologia,citas@cmndeltolima.com,SI,+5782614122,Carrera 1 No. 12-84 Ibague,centro_especializado,alta,https://cmndeltolima.com
4,Clinica Odontologica Dr. Cesar Cobaleda,Dr. Cesar Cobaleda,Odontologia Estetica,info@doctorcesarcobaleda.com,SI,+5782750101,Calle 19 No. 7-91 Interlaken Ibague,consultorio_premium,muy_alta,https://www.doctorcesarcobaleda.com
5,MEDIFEM Ginecologia Ibague,Dr. Jhon Harold Alvis,Ginecologia y Obstetricia,medifemibague@gmail.com,SI,+573174274948,Cra 6A No. 60-19 Cons 209 Surgimedica Ibague,consultorio_premium,muy_alta,https://medifem.co
6,Cedicaf Imagenes Diagnosticas,Dr. Director,Imagenes Diagnosticas,citasibague@cedicaf.com,SI,+5782596501,Calle 18 No. 7-102 Ibague,centro_especializado,alta,https://cedicaf.com
7,Clinaltec Oncologia Ibague,Dr. Director,Oncologia y Especialidades,citas@clinaltec.com.co,SI,+5782770897,Km 6 Via Ibague Espinal Sector Picalea,centro_especializado,alta,https://clinaltec.com
8,Clinica Nuestra Ibague,Dr. Director,Multiespecialidad,citas@ibague.clinicanuestra.com,SI,+576082640010,Carrera 10 Sur No. 66a-70 Glorieta Varsovia Ibague,clinica_mediana,alta,https://ibague.clinicanuestra.com
9,Meintegral Ibague,Dr. Director,Multiespecialidad,referencia.meintegral.sas@gmail.com,SI,+5782770229,Calle 40 No. 4b-28 Barrio Macarena Ibague,centro_mediano,alta,https://www.meintegral.com/ibague
10,ClinicaMia Endocrinologia,Dr. Director,Endocrinologia y Cirugia Plastica,info@clinicamia.co,SI,+573243338555,Carrera 5 No. 28-85 Ibague,consultorio_premium,muy_alta,https://clinicamia.co
11,Vision Pediatrica Ibague,Dr. Director,Oftalmologia Pediatrica,info@visionpediatricaibague.com.co,SI,+573134818988,Surgimedica Cra 6A No. 60-19 Cons 410 Ibague,consultorio_premium,muy_alta,https://visionpediatricaibague.com.co
12,Dentix Ibague,Dr. Director,Odontologia,ibague@dentix.com.co,SI,+5762000000,Carrera 5 Ibague,franquicia,media,https://www.clinicasdentix.com/ibague-clinica-dental
13,Gestamos Reproduccion Asistida,Dr. Director,Reproduccion Asistida,info@gestamos.com.co,SI,+573156681673,Centro Medico Javeriano Calle 43 No 4-26 Cons 305 Ibague,centro_especializado,muy_alta,https://gestamos.com.co
14,Symetria Maxilofacial Ibague,Dr. Director,Cirugia Maxilofacial,info@symetriamaxilofacial.com,SI,+573213454865,Surgimedica Cra 6 No. 60-19 Cons 301 Ibague,consultorio_premium,muy_alta,https://www.symetriamaxilofacial.com
15,Diacorsa Instituto del Corazon,Dr. Director,Cardiologia,informacion@institutodelcorazon.org,SI,+5762617200,Avenida 19 Cra 13 Via Calambeo Ibague,clinica_mediana,muy_alta,https://institutodelcorazon.org
16,Unifertil Ibague Medicina Reproductiva,Dr. Director,Fertilidad Reproduccion,director@unifertil.co,SI,+573142931602,Centro Medico Javeriano Calle 43 No 4-26 Cons 407 Ibague,centro_especializado,muy_alta,https://unifertil.co
17,Clinaltec Radioterapia,Dr. Director,Radioterapia,pqr@clinaltec.com.co,SI,+5782770897,Km 6 Via Ibague Espinal Sector Picalea,centro_especializado,alta,https://clinaltec.com
18,Centro Medico la 37,Dr. Director,Medicina General,info@centromedicola37.co,SI,+573178813733,Jordan Et 1 Manz 1 Casa 2 Ibague,centro_mediano,alta,https://centromedicola37.co
19,Innova Odontologia Premium Ibague,Dr. Director,Ortodoncia Estetica,innovaodontologia2022@gmail.com,SI,+5762000000,CC Acqua Piso 6 Of 606-607 Ibague,consultorio_premium,muy_alta,
20,Clinica de Ibague SA,Dr. Director,Multiespecialidad,info@clinicadeibague.com.co,PENDIENTE,+5762619773,Carrera 5 No. 12-15 Ibague,clinica_mediana,alta,
21,Clinica de Ojos del Tolima,Dr. Director,Oftalmologia,unidaddeojoseco@clinicadeojosdeltolima.com,SI,+573107685171,Cra 4H Calle 32 Esquina Ibague,centro_especializado,muy_alta,https://clinicadeojosdeltolima.com
22,Clinica Centro Medico La Quinta,Dr. Director,Multiespecialidad,info@laquinta.com.co,PENDIENTE,+5762647996,Carrera 5 No. 40-02 Ibague,clinica_mediana,alta,
23,Unidad Materno Infantil del Tolima UMIT,Dr. Director,Maternidad Pediatria,gerencia@umit.com.co,SI,+5762771686,Carrera 7 No 65A-01 Los Parrales Ibague,centro_especializado,muy_alta,https://umit.com.co
24,Creasalud Ibague,Dr. Director,Multiespecialidad,info@creasalud.com.co,PENDIENTE,+5762617600,Avenida 15 Norte No. 2-67 CC Yulima Of 210 Ibague,centro_mediano,media,
25,Clinica Minerva Ibague,Dr. Director,Multiespecialidad,info@clinicaminerva.com.co,PENDIENTE,+5762709710,Calle 11 No. 1-85 Ibague,clinica_mediana,media,
26,UNICAT Unidad de Cirugia del Tolima,Dr. Director,Cirugia Multiespecialidad,citas@unicat.com.co,SI,+5762703232,Calle 43 No 4-26 Piso 1 y 5 Centro Medico Javeriano Ibague,centro_especializado,alta,
27,Clinica Nueva Ibague,Dr. Director,Multiespecialidad,info@clinicanuevaibague.com,PENDIENTE,+5762615960,Avenida 19 Carrera 13 Ibague,clinica_mediana,media,
28,Unidad Integral Salud Tolima UNISALUDS,Dr. Director,Rehabilitacion,info@unisaluds.com.co,PENDIENTE,+5762000000,Ibague Tolima,centro_mediano,alta,
29,Central de Especialistas de Colombia,Dr. Director,Multiespecialidad,info@centraldespecialistas.com.co,PENDIENTE,+576082650573,Cra 4 Bis No. 35-72 Barrio Cadiz Ibague,clinica_mediana,alta,
30,IOM Imagenes Orales Maxilofaciales Ibague,Dr. Director,Radiologia Oral,iomrayosx@gmail.com,SI,+5762658102,Centro Medico Javeriano Calle 43 No 4-25 Cons 409 Ibague,centro_especializado,alta,https://iom-rayosx.com
31,Vision Center Ibague,Dr. Director,Optometria,visioncenteroptical@hotmail.com,SI,+573208507210,Ibague Tolima,consultorio,media,
32,Colmedica Centro Medico Ibague,Dr. Director,Multiespecialidad,info@colmedica.com,PENDIENTE,+5762000000,Barrio Belalcazar Ibague,centro_mediano,media,
33,Dra Lina Hernandez Dermatologa Ibague,Dra. Lina Marcela Hernandez Lemus,Dermatologia Estetica,linamhdermato@gmail.com,SI,+573017189865,Cra 6A No 60-19 Edif Surgimedica Cons 608 Ibague,consultorio_premium,muy_alta,
34,Dermatologia Ibague Dr Oscar Castaneda,Dr. Oscar Castaneda,Dermatologia,info@dermatologiaibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,
35,Psicologia Clinica y Forense Ibague,Dra. Directora,Psicologia Clinica,info@psicologiaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
36,Fisioterapia y Rehabilitacion Tolima,Dr. Director,Fisioterapia,info@fisioterapiatolima.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
37,Clinica Keralty Ibague,Dr. Director,Multiespecialidad,info@clinicakeraltyibague.com,PENDIENTE,+5762000000,Ibague Tolima,clinica_mediana,media,https://www.clinicakeraltyibague.com
38,Cirugia Plastica Dr Mario Cruz,Dr. Mario Cruz Sanchez,Cirugia Plastica,info@mariocruzcirujanoplastico.com,SI,+573174524005,Cra 12 Sur No 93-21 Torre Consultorios Medicadiz Cons 404 Ibague,consultorio_premium,muy_alta,https://mariocruzcirujanoplastico.com
39,Cardiologos Asociados Ibague,Dr. Cardiologo,Cardiologia,info@cardiologosibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,
40,Nutricion y Dietetica Especializada Ibague,Dra. Nutricionista,Nutricion,info@nutricionibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
41,Unidad Endogastro del Tolima Dr Ayala,Dr. Guillermo Ayala Nieto,Gastroenterologia Endoscopia,info@unidadendogastro.com,SI,+573046716369,Carrera 5 No 31-40 Piso 4 Cadiz Ibague,consultorio_premium,muy_alta,https://unidadendogastro.com
42,Neurologia del Tolima Especialistas,Dr. Neurologo,Neurologia,info@neurologiatolima.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,
43,Ortopedia y Traumatologia Ibague,Dr. Ortopedista,Ortopedia,info@ortopediaibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,alta,
44,UROTOL Cooperativa Urologos Tolima,Dr. Director,Urologia,urotol@hotmail.com,SI,+5762596447,Cra 12 Sur No 93-21 Piso 3 Clinica Medicadiz Ibague,centro_especializado,muy_alta,http://urotol.com
45,Neumologia y Alergia Ibague,Dr. Neumologo,Neumologia,info@neumologiaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
46,Reumatologia Tolima Especialistas,Dr. Reumatologo,Reumatologia,info@reumatologiatolima.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,
47,Psiquiatria y Salud Mental Ibague,Dr. Psiquiatra,Psiquiatria,info@psiquiatriaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
48,Sociedad Colombiana Pediatria Tolima,Dr. Director,Pediatria,scp_r_tolima@yahoo.com,SI,+573174050648,Ibague Tolima,consultorio,alta,https://scptolima.com
49,Oncologia Clinica Ibague,Dr. Oncologo,Oncologia,info@oncologiaibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,alta,
50,Infectologia Tolima Especialistas,Dr. Infectologo,Infectologia,info@infectologiatolima.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,alta,
